Rank,Club,Matches,W,D,L,Goals,+/-,Pts
1,Manchester City,41,29,6,6,95:38,57,93
2,Aston Villa,42,26,7,9,77:48,29,85
3,Liverpool FC,41,23,12,6,81:44,37,81
4,Arsenal FC,42,24,9,9,85:49,36,81
5,Manchester United,42,23,5,14,56:50,6,74
6,Tottenham Hotspur,42,21,6,15,79:69,10,69
7,Brighton & Hove Albion,41,19,11,11,82:62,20,68
8,Newcastle United,40,19,9,12,73:47,26,66
9,West Ham United,40,17,8,15,62:63,-1,59
10,Wolverhampton Wanderers,41,16,8,17,51:63,-12,56
11,Brentford FC,40,15,10,15,57:50,7,55
12,Fulham FC,41,15,6,20,54:61,-7,51
13,Chelsea FC,43,12,12,19,53:61,-8,48
14,AFC Bournemouth,40,14,6,20,47:70,-23,48
15,Everton FC,41,13,8,20,45:65,-20,47
16,Nottingham Forest,42,11,12,19,51:70,-19,45
17,Crystal Palace,42,10,14,18,45:57,-12,44
18,Leicester City,21,4,5,12,25:38,-13,17
19,Luton Town,19,4,3,12,23:37,-14,15
20,Leeds United,22,3,6,13,25:49,-24,15
21,Southampton FC,21,3,4,14,21:41,-20,13
22,Burnley FC,20,3,2,15,20:41,-21,11
23,Sheffield United,20,2,3,15,15:49,-34,9
